drug_name,batch_id,manufacturer,manufacture_date,expiry_date,quantity_received,current_stock,reorder_point,unit_price,region,cold_chain_required
Omeprazole,OME-2024-021,Vitalis Pharma,2023-10-30,2026-10-29,1000,344,107,61.35,East,No
Cetirizine,CET-2024-015,CarePlus Inc,2025-02-17,2026-02-17,2000,439,183,22.3,East,No
Ibuprofen,IBU-2025-023,Sunrise Biotech,2023-01-22,2025-01-21,8000,6777,828,32.86,West,No
Cetirizine,CET-2025-016,MediCore Labs,2024-08-02,2026-01-24,5000,1884,483,20.03,East,No
Metformin,MET-2023-019,CarePlus Inc,2023-02-21,2024-02-21,2000,731,276,37.53,South,Yes
Omeprazole,OME-2023-022,Sunrise Biotech,2024-05-23,2025-11-14,10000,4741,1240,59.08,South,No
Omeprazole,OME-2023-023,MediCore Labs,2024-12-14,2026-06-07,10000,9483,1217,56.77,Central,No
Ciprofloxacin,CIP-2024-029,Vitalis Pharma,2025-04-10,2026-10-02,2000,1695,177,68.5,South,No
Salbutamol,SAL-2023-018,CarePlus Inc,2023-03-25,2025-03-24,1000,461,86,85.78,West,Yes
Amoxicillin,AMO-2023-017,CarePlus Inc,2023-01-10,2024-01-10,8000,7048,1090,67.65,East,No
Azithromycin,AZI-2023-022,MediCore Labs,2024-01-12,2025-07-05,10000,4691,1049,51.9,East,Yes
Amlodipine,AML-2024-033,MediCore Labs,2022-07-31,2024-07-30,10000,7895,1283,40.92,South,No
Amlodipine,AML-2023-034,PharmaPlus Ltd,2024-05-22,2025-05-22,2000,766,197,37.89,West,No
